Actual,all_souls,bodleian,christ_church,oxford
all_souls,5,0,0,0
ashmolean,4,0,0,1
christ_church,2,0,0,0
hertford,1,0,0,0
magdalen,0,0,1,0
oxford,3,1,0,0
